category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы охранного телевидения;Наружные системы;Система видеонаблюдения на территории АЗС на базе оборудования HiWatch HiWatch ТСН-013;ТСН-013;253662;;HiWatch;Система видеонаблюдения на территории АЗС на базе оборудования HiWatch;Типовое решение ТСН;98637.97;;Под заказ;https://www.tinko.ru/catalog/product/253662/;image.jpg;
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1331;ACT-T1331;301099;302918074;HiWatch;Биометрический терминал;Биометрический терминал;11626.41;10560.65;Под заказ;https://www.tinko.ru/catalog/product/301099/;image.jpg;
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-видеодомофона HiWatch VDP-H2211;VDP-H2211;305022;305303689;HiWatch;Монитор IP-видеодомофона;Монитор IP-домофона;7257.95;6592.64;В наличии;https://www.tinko.ru/catalog/product/305022/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Мониторы видеодомофонов;Комплект видеодомофона HiWatch DS-D100KF;DS-D100KF;284901;305303182;HiWatch;Комплект видеодомофона;Комплект видеодомофона;6589.2;5985.19;В наличии;https://www.tinko.ru/catalog/product/284901/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1342MW;ACT-T1342MW;323175;302919026;HiWatch;Биометрический терминал;Биометрический терминал;14363.27;13046.64;Под заказ;https://www.tinko.ru/catalog/product/323175/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Наружные системы;Система видеонаблюдения за дачным участком на базе оборудования HiWatch HiWatch ТСН-003;ТСН-003;253202;;HiWatch;Система видеонаблюдения за дачным участком на базе оборудования HiWatch;Типовое решение ТСН;31289.41;;Под заказ;https://www.tinko.ru/catalog/product/253202/;image.jpg;
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1342MFW;ACT-T1342MFW;323177;302919024;HiWatch;Биометрический терминал;Биометрический терминал;14340;13025.5;Под заказ;https://www.tinko.ru/catalog/product/323177/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1331W;ACT-T1331W;301100;302918075;HiWatch;Биометрический терминал;Биометрический терминал;12152.73;11038.73;Под заказ;https://www.tinko.ru/catalog/product/301100/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I351;DS-I351;271808;311303443;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;17363.3;15771.66;Под заказ;https://www.tinko.ru/catalog/product/271808/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием POE HiWatch SWT-1309P;SWT-1309P;304894;301802117;HiWatch;Коммутатор с питанием POE;Коммутатор с PoE;9290.16;8438.56;до 3 дней;https://www.tinko.ru/catalog/product/304894/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1342EFW;ACT-T1342EFW;323178;302919021;HiWatch;Биометрический терминал;Биометрический терминал;15468.54;14050.59;Под заказ;https://www.tinko.ru/catalog/product/323178/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Мониторы видеодомофонов;Монитор домофона цветной HiWatch DS-D100MF;DS-D100MF;284900;305301676;HiWatch;Монитор домофона цветной;Монитор домофона;4575.6;4156.17;В наличии;https://www.tinko.ru/catalog/product/284900/;image.jpg;instruction.pdf
Домофоны и переговорные устройства;Мониторы видеодомофонов;Монитор домофона цветной HiWatch DS-D100M;DS-D100M;270476;305300938;HiWatch;Монитор домофона цветной;Монитор домофона;4929.05;4477.22;В наличии;https://www.tinko.ru/catalog/product/270476/;image.jpg;instruction.pdf
Средства и системы контроля и управления доступом;СКУД «HiWatch Pro»;Биометрический терминал HiWatch ACT-T1343EW;ACT-T1343EW;323180;302918871;HiWatch;Биометрический терминал;Биометрический терминал;11047.46;10034.77;Под заказ;https://www.tinko.ru/catalog/product/323180/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Мониторы видеодомофонов;Комплект IP-видеодомофона HiWatch DS-D100HKWF;DS-D100HKWF;327119;305304256;HiWatch;Комплект IP-видеодомофона;Комплект видеодомофона;9247.2;8399.54;В наличии;https://www.tinko.ru/catalog/product/327119/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-видеодомофона HiWatch VDP-H3212WB;VDP-H3212WB;323174;305303753;HiWatch;Монитор IP-видеодомофона;Монитор IP-домофона;8468.49;7692.21;Под заказ;https://www.tinko.ru/catalog/product/323174/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I202(E) (2.8мм);DS-I202(E) (2.8мм);321878;311322926;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;3261.6;;В наличии;https://www.tinko.ru/catalog/product/321878/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Внутриобъектовые системы;Система беспроводного IP-видеонаблюдения в квартире HiWatch ТСН-011;ТСН-011;255090;;HiWatch;Система беспроводного IP-видеонаблюдения в квартире;Типовое решение ТСН;24338.71;;Под заказ;https://www.tinko.ru/catalog/product/255090/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I402(D)(2.8мм);DS-I402(D)(2.8мм);322834;311322226;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;4770;4332.75;В наличии;https://www.tinko.ru/catalog/product/322834/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры TVI поворотные;Видеокамера TVI поворотная HiWatch DS-T265(C);DS-T265(C);301015;327000287;HiWatch;Бюджетная видеокамера TVI поворотная;Видеокамера TVI;25521.26;23181.81;Под заказ;https://www.tinko.ru/catalog/product/301015/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 8-канальный HiWatch DS-N208(C);DS-N208(C);302280;303614549;HiWatch;IP-видеорегистратор 8-канальный;Видеорегистратор NVR;5390.74;4896.59;В наличии;https://www.tinko.ru/catalog/product/302280/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы TVI;Видеорегистратор TVI 4-канальный HiWatch DS-H104GA;DS-H104GA;318683;300228386;HiWatch;Видеорегистратор TVI 4-канальный;Видеорегистратор TVI;3810;3460.75;Под заказ;https://www.tinko.ru/catalog/product/318683/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы TVI;Видеорегистратор TVI 16-канальный HiWatch DS-H116GA;DS-H116GA;317506;300228388;HiWatch;Видеорегистратор TVI 16-канальный;Видеорегистратор TVI;8148;7401.1;Под заказ;https://www.tinko.ru/catalog/product/317506/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием POE HiWatch DS-S604P;DS-S604P;294954;301802013;HiWatch;Коммутатор с питанием POE;Коммутатор с PoE;3764.4;3419.33;до 3 дней;https://www.tinko.ru/catalog/product/294954/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием PoE HiWatch DS-S1816GP;DS-S1816GP;312960;301802375;HiWatch;Коммутатор с питанием PoE;Коммутатор с PoE;12307.68;11179.48;В наличии;https://www.tinko.ru/catalog/product/312960/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием PoE HiWatch DS-S1008GP;DS-S1008GP;312959;301802374;HiWatch;Коммутатор с питанием PoE;Коммутатор с PoE;5889.89;5349.98;В наличии;https://www.tinko.ru/catalog/product/312959/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы TVI;Видеорегистратор TVI 8-канальный HiWatch DS-H108GA;DS-H108GA;317505;300228387;HiWatch;Видеорегистратор TVI 8-канальный;Видеорегистратор TVI;5460;4959.5;В наличии;https://www.tinko.ru/catalog/product/317505/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием POE HiWatch DS-S1008P;DS-S1008P;294953;301802014;HiWatch;Коммутатор с питанием POE;Коммутатор с PoE;5731.2;5205.84;В наличии;https://www.tinko.ru/catalog/product/294953/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP поворотные;IP-видеокамера поворотная HiWatch DS-I225(D);DS-I225(D);322844;327000695;HiWatch;Бюджетная IP-видеокамера поворотная;Видеокамера IP;23400;21255;В наличии;https://www.tinko.ru/catalog/product/322844/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Вызывная панель IP-домофона HiWatch VDP-D2201(B);VDP-D2201(B);323164;305304041;HiWatch;Вызывная панель IP-домофона;Вызывная панель IP-домофона;6521.1;5923.34;Под заказ;https://www.tinko.ru/catalog/product/323164/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Вызывная панель IP-домофона HiWatch VDP-D2211(B);VDP-D2211(B);323165;305304043;HiWatch;Вызывная панель IP-домофона;Вызывная панель IP-домофона;7257.95;6592.64;В наличии;https://www.tinko.ru/catalog/product/323165/;image.jpg;passport.pdf
Сетевое оборудование;Сетевые коммутаторы с PoE;Коммутатор с питанием PoE HiWatch DS-S504GP;DS-S504GP;312958;301802373;HiWatch;Коммутатор с питанием PoE;Коммутатор с PoE;3564;3237.3;до 3 дней;https://www.tinko.ru/catalog/product/312958/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I453L(D)(2.8мм);DS-I453L(D)(2.8мм);339838;311326321;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;6067.37;5511.19;В наличии;https://www.tinko.ru/catalog/product/339838/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I450M(C) (2.8мм);DS-I450M(C) (2.8мм);324488;311324090;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;6571.2;5968.84;В наличии;https://www.tinko.ru/catalog/product/324488/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I450L(D)(2.8мм);DS-I450L(D)(2.8мм);339812;311326317;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;5266.8;4784.01;В наличии;https://www.tinko.ru/catalog/product/339812/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры TVI поворотные;Видеокамера TVI купольная поворотная HiWatch DS-T245(C) ;DS-T245(C) ;327118;327001309;HiWatch;Бюджетная видеокамера TVI купольная поворотная;Видеокамера TVI;22573.86;20504.59;Под заказ;https://www.tinko.ru/catalog/product/327118/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 8-канальный HiWatch DS-N308(D);DS-N308(D);322846;303617703;HiWatch;Бюджетный IP-видеорегистратор 8-канальный;Видеорегистратор NVR;7576.56;6882.04;В наличии;https://www.tinko.ru/catalog/product/322846/;image.jpg;document.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 4-канальный HiWatch DS-N304(D);DS-N304(D);327408;303617702;HiWatch;Бюджетный IP-видеорегистратор 4-канальный;Видеорегистратор NVR;7143.26;6488.46;В наличии;https://www.tinko.ru/catalog/product/327408/;image.jpg;document.pdf
