category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы охранного телевидения;Кронштейны;Кронштейн-адаптер Hikvision DS-1258ZJ;DS-1258ZJ;233909;302700250;Hikvision;Кронштейн-адаптер;Кронштейн;405.84;368.64;В наличии;https://www.tinko.ru/catalog/product/233909/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1292ZJ;DS-1292ZJ;266115;302700585;Hikvision;Кронштейн настенный;Кронштейн;770.64;700;Под заказ;https://www.tinko.ru/catalog/product/266115/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Козырек Hikvision DS-1250ZJ;DS-1250ZJ;268891;302700138;Hikvision;Козырек;Козырёк;588.24;534.32;Под заказ;https://www.tinko.ru/catalog/product/268891/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн-адаптер Hikvision DS-1227ZJ;DS-1227ZJ;233908;302700028;Hikvision;Кронштейн-адаптер;Кронштейн;1627.2;;В наличии;https://www.tinko.ru/catalog/product/233908/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1232ZJ;DS-1232ZJ;272042;302700031;Hikvision;Кронштейн настенный;Кронштейн;1135.44;1031.36;Под заказ;https://www.tinko.ru/catalog/product/272042/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн потолочный Hikvision DS-1662ZJ;DS-1662ZJ;249125;302700180;Hikvision;Кронштейн потолочный;Кронштейн;1865.04;1694.08;Под заказ;https://www.tinko.ru/catalog/product/249125/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн потолочный Hikvision DS-1233ZJ;DS-1233ZJ;272044;302701114;Hikvision;Кронштейн потолочный;Кронштейн;2503.44;2273.96;Под заказ;https://www.tinko.ru/catalog/product/272044/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн потолочный Hikvision DS-1240ZJ;DS-1240ZJ;272045;302700040;Hikvision;Кронштейн потолочный;Кронштейн;1044.24;948.52;Под заказ;https://www.tinko.ru/catalog/product/272045/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Модуль заглушки Hikvision DS-KD-BK;DS-KD-BK;283477;305301211;Hikvision;Модуль заглушки;Заглушка;1310.9;1190.74;Под заказ;https://www.tinko.ru/catalog/product/283477/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Вызывные панели;Модуль информации Hikvision DS-KD-INFO;DS-KD-INFO;289280;305301852;Hikvision;Модуль информации;Модуль информации;2679.34;2433.73;Под заказ;https://www.tinko.ru/catalog/product/289280/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн-адаптер Hikvision DS-1249ZJ;DS-1249ZJ;272047;302700103;Hikvision;Кронштейн-адаптер;Кронштейн;542.64;492.9;Под заказ;https://www.tinko.ru/catalog/product/272047/;image.jpg;
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 32 канальный Hikvision DS-8632NXI-K8;DS-8632NXI-K8;326965;303615954;Hikvision;IP-видеорегистратор 32 канальный;Видеорегистратор NVR;53046;48183.45;В наличии;https://www.tinko.ru/catalog/product/326965/;image.jpg;document.pdf
