category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3120 Spec:I/B/V3.0;TC-R3120 Spec:I/B/V3.0;353914;1D.20030.000827;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;14590;7485.24;Под заказ;https://www.tinko.ru/catalog/product/353914/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3110 Spec:I/B/K/V3.1;TC-R3110 Spec:I/B/K/V3.1;354287;1D.20030.001298;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;15390;6140.61;Под заказ;https://www.tinko.ru/catalog/product/354287/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3105 Spec:I/B/P/V3.0;TC-R3105 Spec:I/B/P/V3.0;354277;1D.20030.000828;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;14190;5661.81;Под заказ;https://www.tinko.ru/catalog/product/354277/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3880 Spec:I/B/N/V4.0;TC-R3880 Spec:I/B/N/V4.0;323754;1D.20030.020021;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;129790;51786.21;Под заказ;https://www.tinko.ru/catalog/product/323754/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3840 Spec:I/B/N/V4.0;TC-R3840 Spec:I/B/N/V4.0;354295;1D.20030.020020;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;108290;43207.71;Под заказ;https://www.tinko.ru/catalog/product/354295/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3105 Spec:I/B/L/Eu/V1.1;TC-R3105 Spec:I/B/L/Eu/V1.1;323751;1D.20030.020084;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;7290;3740.34;Под заказ;https://www.tinko.ru/catalog/product/323751/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3110 Spec:I/B/V3.0;TC-R3110 Spec:I/B/V3.0;354286;1D.20030.020487;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;9790;5022.84;Под заказ;https://www.tinko.ru/catalog/product/354286/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Tiandy TC-C321N Spec:I3/E/Y/4mm;TC-C321N Spec:I3/E/Y/4mm;354235;1D.20010.020597;Tiandy;Видеокамера IP цилиндрическая;Видеокамера IP;3490;1392.51;Под заказ;https://www.tinko.ru/catalog/product/354235/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3210 Spec:I/B/K/V3.1;TC-R3210 Spec:I/B/K/V3.1;354289;1D.20030.001302;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;19790;7896.21;Под заказ;https://www.tinko.ru/catalog/product/354289/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3440 Spec:I/B/N/V4.0;TC-R3440 Spec:I/B/N/V4.0;354294;1D.20030.020182;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;76190;30399.81;Под заказ;https://www.tinko.ru/catalog/product/354294/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3432 Spec:I/B/K/V3.1;TC-R3432 Spec:I/B/K/V3.1;354292;1D.20030.001307;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;41290;21182.34;Под заказ;https://www.tinko.ru/catalog/product/354292/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3232 Spec:I/B/K/V3.1;TC-R3232 Spec:I/B/K/V3.1;354291;1D.20030.001306;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;34390;17647.2;Под заказ;https://www.tinko.ru/catalog/product/354291/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3440 Spec:I/B/N/H/C/V4.0;TC-R3440 Spec:I/B/N/H/C/V4.0;353136;1D.20030.020181;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;56790;24601.43;Под заказ;https://www.tinko.ru/catalog/product/353136/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3105 Spec:I/B/V3.0;TC-R3105 Spec:I/B/V3.0;354285;1D.20030.020488;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;8690;3467.31;Под заказ;https://www.tinko.ru/catalog/product/354285/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3240 Spec:I/B/N/H/V4.0;TC-R3240 Spec:I/B/N/H/V4.0;354293;1D.20030.020179;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;46590;20182.79;Под заказ;https://www.tinko.ru/catalog/product/354293/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная Tiandy TC-C320N Spec:I3/E/Y/2.8mm;TC-C320N Spec:I3/E/Y/2.8mm;354201;1D.20010.020598;Tiandy;Видеокамера IP купольная;Видеокамера IP;3490;1431.84;Под заказ;https://www.tinko.ru/catalog/product/354201/;image.jpg;passport.pdf
